SeqId,Heap3SortNComp,Heap3SortTns,CountingSortNComp,CountingSortTns,
seq_150_94,96234,11600,1450,3900,
seq_150_95,96775,14500,1497,4800,
seq_150_96,97313,11700,1468,4700,
seq_150_97,97849,11000,1468,3400,
seq_150_98,98388,11700,1480,4700,
seq_150_99,98912,12900,1481,4600,
seq_200_0,99689,15400,1479,4800,
seq_200_1,100465,15500,1451,5300,
seq_200_2,101228,15100,1490,4700,
seq_200_3,101996,15100,1491,4300,
seq_200_4,102773,15800,1491,3800,
seq_200_5,103556,15600,1500,4600,
seq_200_6,104324,15400,1486,4700,
seq_200_7,105105,16000,1495,5400,
seq_200_8,105873,16000,1472,5000,
seq_200_9,106655,15600,1467,3600,
seq_200_10,107421,15200,1494,4800,
seq_200_11,108197,15700,1477,5300,
seq_200_12,108968,15700,1481,5000,
seq_200_13,109730,15400,1486,4900,
seq_200_14,110506,15400,1486,4800,
seq_200_15,111281,15800,1496,4100,
seq_200_16,112047,16200,1489,5200,
seq_200_17,112821,15500,1493,5600,
seq_200_18,113586,16200,1493,4800,
seq_200_19,114355,15000,1488,9000,
seq_200_20,115121,15300,1497,5000,
seq_200_21,115886,15600,1495,5400,
seq_200_22,116659,15700,1477,4800,
seq_200_23,117447,15600,1492,4600,
seq_200_24,118215,15400,1494,6200,
seq_200_25,118988,15500,1492,4000,
seq_200_26,119757,40400,1492,13500,
seq_200_27,120520,16300,1493,5100,
seq_200_28,121285,16500,1477,4700,
seq_200_29,122069,15600,1492,4900,
seq_200_30,122835,15300,1492,3800,
seq_200_31,123617,15600,1479,5500,
seq_200_32,124399,17000,1495,4900,
seq_200_33,125177,16200,1481,4800,
seq_200_34,125932,14900,1499,7700,
seq_200_35,126704,15800,1484,4100,
seq_200_36,127467,15500,1492,4300,
seq_200_37,128260,16300,1489,5000,
seq_200_38,129040,15500,1470,4700,
seq_200_39,129808,17000,1472,5000,
seq_200_40,130567,15500,1479,5000,
seq_200_41,131350,15000,1485,4100,
seq_200_42,132119,16100,1488,7200,
seq_200_43,132893,16200,1473,5100,
seq_200_44,133654,15900,1496,5000,
seq_200_45,134416,15600,1491,4800,
seq_200_46,135178,15500,1477,5000,
seq_200_47,135953,15700,1492,4000,
seq_200_48,136723,15600,1495,4800,
seq_200_49,137498,15400,1493,5400,
seq_200_50,138273,15500,1488,7500,
seq_200_51,139048,16600,1487,6800,
seq_200_52,139836,15800,1443,3700,
seq_200_53,140611,15900,1489,3900,
seq_200_54,141384,15500,1486,9500,
seq_200_55,142138,15600,1471,5200,
seq_200_56,142899,15500,1486,5300,
seq_200_57,143662,16000,1476,4100,
seq_200_58,144440,15600,1497,8500,
seq_200_59,145212,16200,1498,5100,
seq_200_60,145999,16500,1474,7900,
seq_200_61,146783,16100,1493,7900,
seq_200_62,147558,15700,1470,7100,
seq_200_63,148334,16900,1492,3900,
seq_200_64,149119,15700,1497,7500,
seq_200_65,149879,15200,1496,7100,
seq_200_66,150650,15600,1489,5200,
seq_200_67,151424,15400,1478,3800,
seq_200_68,152198,15300,1500,3800,
seq_200_69,152982,16000,1493,7200,
seq_200_70,153754,16000,1492,5000,
seq_200_71,154539,15500,1483,6900,
seq_200_72,155315,16200,1492,4000,
seq_200_73,156081,15100,1465,3800,
seq_200_74,156850,15200,1494,5100,
seq_200_75,157625,17100,1480,4800,
seq_200_76,158394,15500,1487,4900,
seq_200_77,159164,14800,1475,6900,
seq_200_78,159939,15800,1474,4200,
seq_200_79,160717,15700,1477,6500,
seq_200_80,161486,38200,1485,5600,
seq_200_81,162253,19400,1489,5300,
seq_200_82,163035,15600,1490,8700,
seq_200_83,163808,15700,1474,5000,
seq_200_84,164599,16400,1479,3700,
seq_200_85,165360,15200,1492,4600,
seq_200_86,166134,15300,1492,5300,
seq_200_87,166918,15800,1493,7200,
seq_200_88,167690,15400,1499,4900,
seq_200_89,168454,15900,1478,7500,
seq_200_90,169231,16400,1491,3800,
seq_200_91,170002,15300,1479,4000,
seq_200_92,170775,15500,1475,7600,
seq_200_93,171544,15200,1488,5000,
seq_200_94,172315,17900,1494,7600,
seq_200_95,173086,14700,1496,4900,
seq_200_96,173854,15700,1497,4000,
seq_200_97,174628,16500,1495,4700,
seq_200_98,175397,15300,1465,5400,
seq_200_99,176175,15000,1479,4700,
seq_250_0,177189,20400,1499,4000,
seq_250_1,178202,20900,1481,4300,
seq_250_2,179220,20200,1488,4400,
seq_250_3,180247,20000,1484,4400,
seq_250_4,181261,20300,1490,6200,
seq_250_5,182270,19300,1485,5000,
seq_250_6,183275,20500,1488,5300,
seq_250_7,184285,19700,1483,5300,
seq_250_8,185305,19800,1491,5200,
seq_250_9,186316,19700,1500,5400,
seq_250_10,187359,20700,1491,8100,
seq_250_11,188368,19200,1491,5200,
seq_250_12,189387,20000,1496,5500,
seq_250_13,190395,19800,1500,5700,
seq_250_14,191409,40700,1485,5700,
seq_250_15,192433,20900,1493,7500,
seq_250_16,193443,20500,1495,5800,
seq_250_17,194457,77600,1478,6200,
seq_250_18,195465,20500,1456,5400,
seq_250_19,196484,37400,1488,5400,
seq_250_20,197497,20000,1500,5600,
seq_250_21,198516,18700,1496,5900,
seq_250_22,199521,19900,1500,5500,
seq_250_23,200533,19500,1479,6200,
seq_250_24,201554,18500,1499,5300,
seq_250_25,202553,19800,1483,5700,
seq_250_26,203583,19300,1490,5500,
seq_250_27,204596,18700,1488,5200,
seq_250_28,205607,19500,1497,5900,
seq_250_29,206619,21000,1490,5500,
seq_250_30,207642,19500,1498,5000,
seq_250_31,208640,18900,1496,5000,
seq_250_32,209651,18600,1488,5700,
seq_250_33,210670,19600,1498,5300,
seq_250_34,211689,19100,1489,5900,
seq_250_35,212715,19200,1481,5100,
seq_250_36,213726,21500,1492,5700,
seq_250_37,214750,19800,1489,6000,
seq_250_38,215757,19100,1495,5400,
seq_250_39,216776,19400,1493,5900,
seq_250_40,217792,19200,1485,5200,
seq_250_41,218812,20400,1484,5000,
seq_250_42,219826,18700,1481,5600,
seq_250_43,220835,19100,1494,5700,
seq_250_44,221863,20400,1488,5700,
seq_250_45,222877,19900,1476,5300,
seq_250_46,223881,18900,1496,5400,
seq_250_47,224890,19300,1486,5600,
seq_250_48,225909,19400,1494,5400,
seq_250_49,226909,21700,1491,6400,
seq_250_50,227924,20000,1497,6100,
seq_250_51,228935,18900,1483,5500,
seq_250_52,229950,20200,1494,5300,
seq_250_53,230978,18700,1496,5100,
seq_250_54,232011,19300,1491,5200,
seq_250_55,233044,19200,1495,5300,
seq_250_56,234049,20900,1494,5000,
seq_250_57,235070,19100,1483,5500,
seq_250_58,236094,19200,1473,10800,
seq_250_59,237094,19200,1499,5700,
seq_250_60,238108,18800,1492,5500,
seq_250_61,239105,18500,1498,5500,
seq_250_62,240132,19300,1488,5600,
seq_250_63,241158,22100,1494,5300,
seq_250_64,242167,18600,1488,5200,
seq_250_65,243197,19700,1452,5200,
seq_250_66,244199,19500,1495,4900,
seq_250_67,245204,20200,1481,5400,
seq_250_68,246213,20100,1491,5800,
seq_250_69,247212,19300,1464,5700,
seq_250_70,248215,20600,1479,5700,
seq_250_71,249245,22300,1491,7600,
seq_250_72,250265,19000,1497,5500,
seq_250_73,251272,20100,1480,5600,
seq_250_74,252276,19200,1491,6000,
seq_250_75,253307,19100,1492,5400,
seq_250_76,254330,19300,1484,5300,
seq_250_77,255344,19600,1497,5600,
seq_250_78,256355,22900,1491,6600,
seq_250_79,257372,19400,1494,5300,
seq_250_80,258393,21400,1477,6700,
seq_250_81,259402,19200,1495,5200,
seq_250_82,260420,20000,1477,6000,
seq_250_83,261440,18600,1492,5600,
seq_250_84,262451,19200,1496,5500,
seq_250_85,263448,18800,1467,5100,
seq_250_86,264478,19200,1490,5700,
seq_250_87,265488,19100,1486,5300,
seq_250_88,266512,20200,1492,5600,
seq_250_89,267537,18800,1492,5400,
seq_250_90,268568,19800,1484,5100,
seq_250_91,269582,19500,1473,6000,
seq_250_92,270602,21900,1492,9300,
seq_250_93,271615,18600,1497,9400,
seq_250_94,272608,19500,1494,5700,
seq_250_95,273610,20100,1492,5500,
seq_250_96,274633,19600,1490,8200,
seq_250_97,275637,20300,1495,5400,
seq_250_98,276652,20700,1492,8500,
seq_250_99,277664,19700,1491,7500,
seq_300_0,278917,23900,1500,6700,
seq_300_1,280164,26500,1496,4900,
seq_300_2,281414,23500,1486,6300,
seq_300_3,282663,23700,1479,6400,
seq_300_4,283919,25300,1499,7200,
seq_300_5,285175,29700,1498,20400,
seq_300_6,286444,25300,1499,5300,
seq_300_7,287697,24900,1487,6500,
seq_300_8,288987,24300,1497,6300,
seq_300_9,290235,24000,1491,9200,
seq_300_10,291484,26300,1498,6700,
seq_300_11,292727,25500,1490,6300,
seq_300_12,293998,24600,1496,5700,
seq_300_13,295262,24100,1492,6500,
seq_300_14,296521,26000,1497,6600,
seq_300_15,297780,24700,1487,5800,
seq_300_16,299047,25100,1492,6200,
seq_300_17,300301,24500,1489,4700,
seq_300_18,301558,23900,1489,5800,
seq_300_19,302817,23600,1489,6300,
seq_300_20,304094,24500,1497,6100,
seq_300_21,305365,23500,1490,5700,
seq_300_22,306640,23900,1499,5900,
seq_300_23,307919,25100,1499,5000,
seq_300_24,309180,23500,1495,5400,
seq_300_25,310443,23400,1494,5700,
seq_300_26,311693,23700,1489,6000,
seq_300_27,312956,23400,1495,6400,
seq_300_28,314221,23800,1497,5400,
seq_300_29,315472,24600,1496,6300,
seq_300_30,316728,25300,1499,6400,
seq_300_31,317985,25700,1495,6100,
seq_300_32,319233,24000,1491,6300,
seq_300_33,320513,25600,1493,6200,
seq_300_34,321789,24400,1497,5000,
seq_300_35,323052,23700,1492,5600,
seq_300_36,324316,22900,1495,6500,
seq_300_37,325587,24500,1499,5900,
seq_300_38,326861,25800,1488,6500,
seq_300_39,328128,24800,1486,5400,
seq_300_40,329387,24100,1492,5900,
seq_300_41,330643,24400,1486,6100,
seq_300_42,331914,24400,1497,6100,
seq_300_43,333184,23200,1474,5700,
seq_300_44,334429,22900,1482,6700,
seq_300_45,335695,25500,1493,4500,
seq_300_46,336963,25200,1495,5900,
seq_300_47,338218,24200,1495,6900,
seq_300_48,339487,24500,1500,6600,
seq_300_49,340731,24200,1483,6400,
seq_300_50,341973,24000,1498,6400,
seq_300_51,343245,24500,1498,9000,
seq_300_52,344492,27400,1497,9000,
seq_300_53,345751,24300,1496,5600,
seq_300_54,347007,22900,1483,9900,
seq_300_55,348265,24600,1487,4700,
seq_300_56,349522,23600,1485,5700,
seq_300_57,350802,24400,1495,6300,
seq_300_58,352072,23900,1491,8200,
seq_300_59,353346,26100,1497,5400,
seq_300_60,354602,23500,1497,6300,
seq_300_61,355864,24300,1497,5900,
seq_300_62,357125,24000,1497,8200,
seq_300_63,358386,24700,1470,7500,
seq_300_64,359654,23500,1495,6000,
seq_300_65,360921,25300,1496,6200,
seq_300_66,362181,23900,1496,6500,
seq_300_67,363452,24200,1497,5900,
seq_300_68,364701,24100,1490,8000,
seq_300_69,365970,23300,1490,5700,
seq_300_70,367230,23400,1488,6300,
seq_300_71,368486,24300,1497,5700,
seq_300_72,369737,28700,1497,5900,
seq_300_73,370993,24200,1494,8400,
seq_300_74,372274,24800,1489,5800,
seq_300_75,373538,23700,1495,5600,
seq_300_76,374781,24200,1488,8100,
seq_300_77,376043,24700,1496,4700,
seq_300_78,377310,24100,1486,5500,
seq_300_79,378575,23800,1480,5800,
seq_300_80,379829,24200,1491,5300,
seq_300_81,381072,24200,1493,5600,
seq_300_82,382330,26700,1499,5700,
seq_300_83,383578,23700,1487,4900,
seq_300_84,384831,25400,1489,7000,
seq_300_85,386099,24700,1496,6100,
seq_300_86,387343,24300,1490,6700,
seq_300_87,388598,24500,1493,5700,
seq_300_88,389868,24200,1495,5200,
seq_300_89,391120,23500,1497,6900,
seq_300_90,392381,24400,1482,6100,
seq_300_91,393641,23600,1484,6000,
seq_300_92,394903,24400,1493,6300,
seq_300_93,396163,24700,1496,4700,
seq_300_94,397425,25200,1492,6100,
seq_300_95,398689,25400,1494,4800,
seq_300_96,399957,25300,1494,4000,
seq_300_97,401223,23800,1476,3700,
seq_300_98,402485,26300,1499,4100,
seq_300_99,403742,24200,1497,4300,
seq_350_0,405253,31100,1498,4700,
seq_350_1,406773,28800,1488,5300,
seq_350_2,408290,34100,1483,4000,
seq_350_3,409808,29200,1495,4300,
seq_350_4,411319,28900,1499,4200,
seq_350_5,412847,28800,1489,5000,
seq_350_6,414371,28900,1491,4900,
seq_350_7,415881,28900,1489,4400,
seq_350_8,417395,28400,1494,4800,
seq_350_9,418917,28000,1496,4400,
seq_350_10,420438,28000,1496,5000,
seq_350_11,421937,27400,1496,4800,
seq_350_12,423444,28900,1491,4500,
seq_350_13,424972,33700,1484,6400,
seq_350_14,426462,29000,1499,5000,
seq_350_15,427983,28100,1494,4400,
seq_350_16,429502,28800,1500,11100,
seq_350_17,431013,28800,1494,4700,
seq_350_18,432535,29800,1499,4700,
seq_350_19,434047,31300,1496,4700,
seq_350_20,435561,29600,1499,6200,
seq_350_21,437084,29600,1498,5600,
seq_350_22,438620,28800,1498,5700,
seq_350_23,440134,28900,1498,7100,
seq_350_24,441642,28900,1479,7300,
seq_350_25,443179,29200,1497,6200,
seq_350_26,444697,29200,1481,5700,
seq_350_27,446189,29400,1497,6200,
seq_350_28,447713,28800,1485,6500,
seq_350_29,449228,28900,1490,5900,
seq_350_30,450753,28500,1488,6200,
seq_350_31,452265,29100,1476,5900,
seq_350_32,453767,30400,1489,4800,
seq_350_33,455297,28500,1499,4800,
seq_350_34,456793,27800,1477,5300,
seq_350_35,458326,29900,1495,4600,
seq_350_36,459813,27300,1487,4500,
seq_350_37,461311,28600,1492,5500,
seq_350_38,462820,28500,1500,5000,
seq_350_39,464329,27600,1496,4600,
seq_350_40,465825,28100,1493,4800,
seq_350_41,467351,28200,1491,4600,
seq_350_42,468869,29100,1491,4500,
seq_350_43,470378,29700,1500,5300,
seq_350_44,471878,28400,1478,5000,
seq_350_45,473380,28400,1495,4700,
seq_350_46,474908,32700,1496,5300,
seq_350_47,476416,28100,1500,4800,
seq_350_48,477936,27900,1494,4200,
seq_350_49,479458,28700,1487,4800,
seq_350_50,480965,28100,1489,5200,
seq_350_51,482493,29900,1493,4800,
seq_350_52,483996,27900,1488,4200,
seq_350_53,485514,28400,1496,4800,
seq_350_54,487036,28400,1486,4100,
seq_350_55,488545,27900,1494,5000,
seq_350_56,490078,27800,1494,4600,
seq_350_57,491577,30100,1480,4600,
seq_350_58,493092,29000,1483,4700,
seq_350_59,494606,28300,1491,6300,
seq_350_60,496107,27800,1495,4700,
seq_350_61,497624,28100,1485,5100,
seq_350_62,499142,28800,1490,4600,
seq_350_63,500660,28300,1489,4100,
seq_350_64,502176,27900,1496,5400,
seq_350_65,503678,29400,1490,4600,
seq_350_66,505191,32000,1494,4400,
seq_350_67,506697,29000,1500,4700,
seq_350_68,508228,28900,1497,4200,
seq_350_69,509747,28200,1496,5000,
seq_350_70,511255,29300,1494,4200,
seq_350_71,512757,28300,1499,4900,
seq_350_72,514242,28800,1495,6000,
seq_350_73,515739,30300,1497,4300,
seq_350_74,517241,31000,1485,4800,
seq_350_75,518761,29100,1492,4000,
seq_350_76,520294,29100,1496,4100,
seq_350_77,521807,27100,1492,4400,
seq_350_78,523324,27800,1492,5000,
seq_350_79,524826,28500,1484,5200,
seq_350_80,526345,28200,1492,4200,
seq_350_81,527844,29700,1483,4200,
seq_350_82,529356,30500,1480,4700,
seq_350_83,530865,28800,1484,4400,
seq_350_84,532378,28600,1483,4300,
seq_350_85,533882,28600,1489,4400,
seq_350_86,535382,44200,1496,9700,
seq_350_87,536879,30000,1486,4500,
seq_350_88,538387,27900,1481,4400,
seq_350_89,539879,29100,1476,3900,
seq_350_90,541390,28500,1484,5200,
seq_350_91,542896,27200,1474,4000,
seq_350_92,544404,28800,1500,4500,
seq_350_93,545926,28800,1496,5500,
seq_350_94,547439,28600,1497,4700,
seq_350_95,548946,30400,1492,6700,
